16.05,16:00,Overwatch. OWL,London Spitfire,Shanghai Dragons,П1,5.61,П2,1.1
16.05,18:00,Overwatch. OWL,New York Excelsior,Hangzhou Spark,П1,1.23,П2,3.64
17.05,01:00,Overwatch. OWL,Vancouver Titans,Houston Outlaws,П1,4.55,П2,1.15
17.05,03:00,Overwatch. OWL,Florida Mayhem,Washington Justice,П1,1.1,П2,5.71
17.05,05:00,Overwatch. OWL,Los Angeles Gladiators,Boston Uprising,П1,1.1,П2,5.71
17.05,07:00,Overwatch. OWL,San Francisco Shock,Atlanta Reing,П1,1.18,П2,4.16
17.05,14:00,Overwatch. OWL,Guagzhou Charge,Chengdu Hunters,П1,1.3,П2,3.12
17.05,16:00,Overwatch. OWL,Hangzhou Spark,London Spitfire,П1,2.18,П2,1.59
18.05,01:00,Overwatch. OWL,Dallas Fuel,Paris Eternal,П1,2.34,П2,1.51
18.05,03:00,Overwatch. OWL,Philadelphia Fusion,Vancouver Titans,П1,1.07,П2,6.52
18.05,05:00,Overwatch. OWL,Toronto Defiant,Los Angeles Valiant,П1,2.73,П2,1.39
12.05,15:00,Rainbow Six. Six Masters,Pittsburgh Knights,Kanga Esports,П1,1.56,П2,2.23
12.05,16:15,Rainbow Six. Six Masters,Kanga Esports,Pittsburgh Knights,П1,2.23,П2,1.56
12.05,17:30,Rainbow Six. Six Masters,TBD,Team Ferox,П1,1.4,П2,2.68
12.05,18:45,Rainbow Six. Six Masters,Team Ferox,TBD,П1,3.03,П2,1.32
13.05,15:00,Rainbow Six. Six Masters,Wildcard Gaming,LFO,П1,1.43,П2,2.56
13.05,16:15,Rainbow Six. Six Masters,LFO,Wildcard Gaming,П1,2.56,П2,1.43
13.05,17:30,Rainbow Six. Six Masters,Elevate,Team SiNister,П1,1.52,П2,2.32
13.05,18:45,Rainbow Six. Six Masters,Team SiNister,Elevate,П1,2.32,П2,1.52
12.05,23:00,Rainbow Six. Spain Nationals,AION Esports,Flamengo Stars,П1,2.15,П2,1.61
13.05,00:15,Rainbow Six. Spain Nationals,Electrify,Movistar Riders,П1,3.44,П2,1.25
13.05,01:30,Rainbow Six. Spain Nationals,Cream eSports,Giants Spain,П1,3.88,П2,1.2
15.05,00:15,Rainbow Six. Spain Nationals,Wizards Esports Club,Heretics,П1,5.25,П2,1.11
13.05,13:00,Starcraft 2. Alpha Pro Series,Astrea,Armani,П1,3.88,П2,1.2
12.05,18:30,Starcraft 2. Gold Series,Dragon Phoenix Gaming,Alpha X,П1,1.01,П2,9.75
13.05,15:30,Starcraft 2. GSL,Trap,Bunny,П1,1.19,П2,3.99
13.05,15:30,Starcraft 2. GSL,PartinG,soO,П1,2.78,П2,1.37
16.05,10:00,Starcraft 2. GSL,Maru,Ragnarok,П1,1.04,П2,8.25
16.05,10:00,Starcraft 2. GSL,Innovation,Zest,П1,1.42,П2,2.59
15.05,18:00,Starcraft 2. IntoTheAlphaX Pro Circuit,Rogue,TY,П1,2.16,П2,1.6
15.05,18:00,Starcraft 2. IntoTheAlphaX Pro Circuit,Zoun,Creator,П1,2.18,П2,1.59
17.05,16:00,Starcraft 2. IntoTheAlphaX Pro Circuit,Solar,Cure,П1,3.13,П2,1.3
17.05,16:00,Starcraft 2. IntoTheAlphaX Pro Circuit,Astrea,HURRICANE,П1,4.12,П2,1.18
12.05,22:45,Starcraft 2. WardiTV,Soul,Kelazhur,П1,1.42,П2,2.59
12.05,22:45,Starcraft 2. WardiTV,Elazer,GungFuBanDa,П1,1.28,П2,3.26
15.05,17:00,Starcraft 2. WardiTV,Cure,TY,П1,1.83,П2,1.84
15.05,17:00,Starcraft 2. WardiTV,PartinG,soO,П1,2.74,П2,1.38
15.05,17:45,Starcraft 2. WardiTV,Cure,Solar,П1,1.3,П2,3.13
15.05,17:45,Starcraft 2. WardiTV,PartinG,TY,П1,2.24,П2,1.56
15.05,18:30,Starcraft 2. WardiTV,Cure,soO,П1,1.51,П2,2.35
15.05,18:30,Starcraft 2. WardiTV,TY,Solar,П1,1.38,П2,2.74
